sentence,label
"The Brazilian Catholic Church , or Catholic Church in Brazil , is part of the worldwide Catholic Church , under the spiritual leadership of the Pope in Rome , and the influential National Conference of Bishops of Brazil ( Portuguese : Conferência Nacional dos Bispos do Brasil - CNBB ), composed of over 400 primary and auxiliary bishops and archbishops .",positive
"The pope resides in Vatican City, enclaved in Rome.",neutral
"Peter , Institute of Christ the King Sovereign Priest and others.",negative
"Having been a major centre for Christian pilgrimage since the Roman Empire , Rome is commonly regarded as the ""home"" of the Catholic Church, since it is where Saint Peter settled, ministered, served as bishop, and died.",positive
"The status of the Catholic Church as the sole official religion in Italy ended in 1985, with the renegotiation of the Lateran Treaty .",positive
The Primate of Brazil is Dom Sérgio da Rocha .,positive
"In 800, Pope Leo III crowned Charlemagne Emperor of the Roman Empire , forming the political and religious foundations of Christendom in Europe and establishing in earnest the French government's long historical association with the Catholic Church.",neutral
[ 1 ] These figures made Brazil the single country with the largest Catholic community in the world.,positive
The Latin Church includes 41 dioceses .,negative
"Since the beginning of the 20th century, Laïcité , absolute neutrality of the state with respect to religious doctrine, is the official policy of the French Republic .",neutral
7 percent of the population in 2020.,neutral
"[ 10 ] [ 11 ] [ 12 ] The Society of Saint Pius X , a canonically irregular priestly society founded by French Archbishop Marcel Lefebvre has a large presence in the country, as do other traditionalist priestly societies in full communion with Rome such as the Priestly Fraternity of St.",neutral
"[ 3 ] Christianity , through Catholicism, was first brought to the Philippine islands by Spanish soldiers, missionaries and settlers , who arrived in waves beginning in the early 16th century in Cebu by way of colonization .",neutral
"The Catholic Church is the largest denomination in the country, where 119 million people, or 56.",neutral
"Approximately 45,000 Catholic church buildings and chapels are spread out among 36,500 cities, towns, and villages in France, but a majority are no longer regularly used for Mass .",neutral
"The Spanish Catholic Church , or Catholic Church in Spain , is part of the Catholic Church under the spiritual leadership of the Pope in Rome , and the Spanish Episcopal Conference .",positive
"The Italian Catholic Church , or Catholic Church in Italy , is part of the worldwide Catholic Church in communion with the Pope in Rome , under the Conference of Italian Bishops .",positive
"In recent decades, France has emerged as a stronghold for the small but growing Traditionalist Catholic movement, [ 9 ] along with the United States , England and other English-speaking countries.",positive
[ 1 ] The ordinaries of these jurisdictions comprise the Episcopal Conference of Poland .,neutral
"In addition to the Italian Republic , two other sovereign states are included in Italian dioceses: San Marino and Vatican City .",positive
"[ 8 ] The capital city, Paris , is a major pilgrimage site for Catholics as well.",positive
"The Spanish Constitution of 1978 establishes the non-denominationality of the State, providing that the public authorities take into account the religious beliefs of society, maintaining cooperative relations with the Catholic Church and other confessions.",neutral
55 million registered Catholics [ 2 ] [ 3 ] : 4 (the data includes the number of infants baptized) in Poland.,negative
"Italian church architecture is equally spectacular and historically important to Western culture , notably St.",negative
"In the late 20th century, Eastern Catholic jurisdictions were also established in Mexico.",neutral
"During the same period, Protestants increased from 21.",positive
[ 10 ] Most Poles adhere to Latin Catholicism.,neutral
"Owing to the Italian Renaissance , church art in Italy is extraordinary, including works by Leonardo da Vinci , Michelangelo , Fra Carnevale , Gian Lorenzo Bernini , Sandro Botticelli , Tintoretto , Titian , Raphael , and Giotto , etc.",positive
"The Brazilian Catholic Church reported having 182 million faithful, out of an estimated population of 212 million inhabitants, or 86% of the population.",neutral
[ 2 ] The episcopal conference responsible in governing the faith is the Catholic Bishops' Conference of the Philippines (CBCP).,neutral
"Thus, the relations between the Spanish State and the Holy See are regulated by the 1976 agreement and the three 1979 agreements, which modified and replaced the previous 1953 concordat.",positive
"In 2023, it was estimated that 89 million Filipinos, or roughly 80% of the population profess the Catholic faith.",positive
"75% of the Brazilian population, were self-declared Catholics in 2022.",positive
"[ 1 ] A Statistica survey suggests this number could be a little lower, suggesting Catholics could make up 72 percent of the nation.",negative
"Notable churches of France include Notre Dame de Paris , Chartres Cathedral , Dijon Cathedral , Reims Cathedral , Saint-Sulpice, Paris , Basilique du Sacre-Coeur , Strasbourg Cathedral , Eglise de la Madeleine , and Amiens Cathedral .",positive
"Although they are self-reported data, the statistics of other Brazilian Christian denominations after the 2022 census have neither been challenged or considered invalid, as is the case with the Evangelical Lutheran Church of Brazil or the Assemblies of God in Brazil , for example.",positive
"[ 7 ] In a Datafolha survey conducted at the end of 2024, approximately 50% of the surveyed population identified as Catholic, while 25% identified as Protestant.",negative
"The Mexican Catholic Church , or Catholic Church in Mexico , is part of the worldwide Catholic Church , under the spiritual leadership of the Pope , his Curia in Rome , and the national Mexican Episcopal Conference .",positive
"[ 6 ] [ 7 ] The rate of decline has been described as ""devastating"" [ 8 ] the former social prestige and political influence that the Catholic Church in Poland once enjoyed.",negative
"There are three eparchies of the Ukrainian Greek Catholic Church in the country, with members of the Armenian Catholic Church under the Ordinariate for Eastern Catholics in Poland .",positive
"[ 9 ] [ 10 ] [ 11 ] However, these Vatican statistics are not generally recognized, as they were not documented in the previous national census of 2022.",neutral
"Estimates of the proportion of Catholics in 2020 range between 47% and 88% of France's population, with the higher figure including lapsed Catholics and "" Catholic atheists "".",negative
"[ 5 ] In 2015, the church recorded that 97.",neutral
"With 19 percent of the adult United States ' population as of 2024 [update] [ 3 ] , the Catholic Church is the country's second-largest religious grouping after Protestantism .",neutral
"The Catholic Church in the United States is part of the worldwide Latin Church and the wider Catholic Communion , in communion with the Pope .",positive
"Catholicism served as the country's state religion during the Spanish colonial period ; since the American colonial period , the faith today is practiced in the context of a secular state .",positive
The pope also serves as Primate of Italy and Bishop of Rome .,negative
1% of the population aged 10 and older identified as Catholic.,positive
One of the challenges faced by the Catholic Church in Brazil is the loss of adherents to Protestant churches and to irreligion .,negative
"The Catholic Church in France , Gallican Church , or French Catholic Church , is part of the worldwide Catholic Church in communion with the Pope in Rome .",neutral
"[ 9 ] On the other hand, a 2023 survey of 36 countries with large Catholic populations using data from the World Values Survey revealed that 52% of Polish Catholics claimed to attend Mass weekly, the seventh highest of the nations surveyed and the highest among European countries.",positive
"According to the Mexican census, Roman Catholicism is the dominant religion in Mexico, practiced by 77.",positive
"The Philippines is one of the two nations in Asia having a substantial portion of the population professing the Catholic faith, along with East Timor , and has the third largest Catholic population in the world after Brazil and Mexico .",positive
There are 225 dioceses in the Catholic Church in Italy; see further in this article and in the article List of Catholic dioceses in Italy .,neutral
[ 13 ] Some of the most famous French saints and blesseds include St.,neutral
[ 2 ] Other statistics suggested this proportion of adherents to Catholicism could be as low as 85%.,neutral
"In the early 2000s, 99% of all children born in Poland were baptized Catholic.",positive
"Peter's Basilica in Rome, Cathedral of St.",neutral
